Property1,Property2,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
,,1.51,1.096296296,1.655407407,2.761,1.42,0.562962963,0.799407407,2.127,1.298072402,0.09,1.947368421,0.918
,,1.51,1.096296296,1.655407407,2.761,0.48,0.348148148,0.167111111,1.907,1.447823807,1.03,3.14893617,1.024
,,1.51,1.096296296,1.655407407,2.761,1.84,0.474074074,0.872296296,1.978,1.395854398,0.33,2.3125,0.987
,,1.51,1.096296296,1.655407407,2.761,0.4,0.113407407,0.045362963,1.499,1.841894596,1.11,9.666884389,1.302
,,1.51,1.096296296,1.655407407,2.761,1.25,0.281481481,0.351851851,1.684,1.639548694,0.26,3.894736842,1.159
,,1.51,1.096296296,1.655407407,2.761,1.39,0.444444444,0.617777777,2.009,1.37431558,0.12,2.466666667,0.972
,,1.51,1.096296296,1.655407407,2.761,1.94,0.474074074,0.919703704,1.987,1.389531958,0.43,2.3125,0.982
,,1.51,1.096296296,1.655407407,2.761,1.81,0.4,0.724,1.87,1.476470588,0.3,2.740740741,1.044
,,1.83,0.583555556,1.067906667,2.133,1.4,0.2,0.28,1.627,1.311001844,0.43,2.917777778,0.927
,,1.83,0.583555556,1.067906667,2.133,1.61,0.477777778,0.769222223,2.015,1.058560794,0.22,1.221395349,0.748
0.441,yes,2.55,1.192592593,3.041111112,2.948,2.14,0.62962963,1.347407408,2.23,1.321973094,0.41,1.894117647,0.935
0.31,yes,2.55,1.192592593,3.041111112,2.948,2.32,0.644444444,1.49511111,2.178,1.353535354,0.23,1.850574713,0.957
7.244,no,2.55,1.192592593,3.041111112,2.948,0.89,0.118518519,0.105481482,1.54,1.914285714,1.66,10.0625,1.354
1.312,no,2.55,1.192592593,3.041111112,2.948,1.56,0.392592593,0.612444445,1.87,1.576470588,0.99,3.037735849,1.115
0.629,no,2.55,1.192592593,3.041111112,2.948,1.78,0.407407407,0.725185184,1.96,1.504081633,0.77,2.927272727,1.064
0.046,yes,2.55,1.192592593,3.041111112,2.948,2.14,0.525925926,1.125481482,2.073,1.422093584,0.41,2.267605634,1.006
0.289,yes,2.55,1.192592593,3.041111112,2.948,1.24,0.462962963,0.574074074,2.02,1.459405941,1.31,2.576,1.032
1.034,no,2.55,1.192592593,3.041111112,2.948,1.89,0.392592593,0.742000001,1.903,1.549132948,0.66,3.037735849,1.095
0.362,yes,2.55,1.192592593,3.041111112,2.948,1.28,0.481481481,0.616296296,2.006,1.469591226,1.27,2.476923077,1.039
0.239,yes,2.55,1.192592593,3.041111112,2.948,1.84,0.503703704,0.926814815,2.03,1.452216749,0.71,2.367647059,1.027
0.89,no,2.55,1.192592593,3.041111112,2.948,1.53,0.355555556,0.544000001,1.922,1.533818939,1.02,3.354166667,1.085
0.629,yes,2.55,1.192592593,3.041111112,2.948,2.08,0.644444444,1.340444444,2.33,1.265236052,0.47,1.850574713,0.895
0.565,yes,2.55,1.192592593,3.041111112,2.948,1.94,0.666666667,1.293333334,2.292,1.286212914,0.61,1.788888889,0.91
0.348,yes,2.55,1.192592593,3.041111112,2.948,1.11,0.574074074,0.637222222,2.192,1.344890511,1.44,2.077419355,0.951
0.445,yes,2.55,1.192592593,3.041111112,2.948,2.16,0.637037037,1.376,2.232,1.32078853,0.39,1.872093023,0.934
0.484,no,2.55,1.192592593,3.041111112,2.948,1.24,0.459259259,0.569481481,1.984,1.485887097,1.31,2.596774194,1.051
2.15,no,2.55,1.192592593,3.041111112,2.948,1.54,0.296296296,0.456296296,1.79,1.646927374,1.01,4.025,1.165
0.123,yes,2.55,1.192592593,3.041111112,2.948,1.48,0.511111111,0.756444444,2.055,1.434549878,1.07,2.333333333,1.014
0.155,no,2.55,1.192592593,3.041111112,2.948,1.34,0.718518519,0.962814815,2.127,1.385989657,1.21,1.659793814,0.98
0.608,yes,2.55,1.192592593,3.041111112,2.948,2.14,0.696296296,1.490074073,2.317,1.272334916,0.41,1.712765957,0.9
0.598,yes,2.55,1.192592593,3.041111112,2.948,1.9,0.448148148,0.851481481,1.965,1.500254453,0.65,2.661157025,1.061
0.509,yes,2.55,1.192592593,3.041111112,2.948,2.06,0.659259259,1.358074074,2.262,1.303271441,0.49,1.808988764,0.922
0.026,yes,2.55,1.192592593,3.041111112,2.948,2.11,0.533333333,1.125333333,2.078,1.4186718,0.44,2.236111111,1.003
0.184,yes,1.42,0.992592593,1.409481482,2.607,1.83,0.396296296,0.725222222,1.876,1.389658849,0.41,2.504672897,0.982
0.747,yes,1.42,0.992592593,1.409481482,2.607,1.61,0.477777778,0.769222223,2.015,1.293796526,0.19,2.07751938,0.915
1.085,yes,1.42,0.992592593,1.409481482,2.607,1.66,0.592592593,0.983703704,2.158,1.208063021,0.24,1.675,0.854
0.75,yes,1.42,0.992592593,1.409481482,2.607,1.89,0.477777778,0.903,2.016,1.293154762,0.47,2.07751938,0.914
0.98,yes,1.42,0.992592593,1.409481482,2.607,2.08,0.551851852,1.147851852,2.105,1.23847981,0.66,1.798657718,0.876
